text,date,likes,business_id,user_id
"Finally, found some churros. Four types here. It should be great!",3/28/12,0,xFN8mRubo3G0oIzJwc8XBA,TvkqJ8YEIsTb16RnnrNyfQ
Smooth on time arrival at noonish. Reported Temperature 78F. It should be alright :) - by bechego,3/27/12,0,JmI9nslLD7KZqRr__Bg6NQ,TvkqJ8YEIsTb16RnnrNyfQ
Rental Facility shuttle service for terminal 4 STUNK today...and the airport wasn't even busy! Fail!,3/29/12,0,JmI9nslLD7KZqRr__Bg6NQ,TvkqJ8YEIsTb16RnnrNyfQ
Good overall. Not too expensive and great location near highway entrance...easy on easy off. Good service.,3/29/12,0,-VruCC0mPOyZXW1MfQLkQA,TvkqJ8YEIsTb16RnnrNyfQ
On time today,3/27/12,0,bp5ARRJu3_8CBsAS4tOWhA,TvkqJ8YEIsTb16RnnrNyfQ
Delayed flight to Houston today over one hour,3/29/12,0,bp5ARRJu3_8CBsAS4tOWhA,TvkqJ8YEIsTb16RnnrNyfQ
Vast choice today.,3/27/12,0,kamKFAkLzH-mXx5QmvCefg,TvkqJ8YEIsTb16RnnrNyfQ
closed closed closed closed closed closed closed closed closed closed closed closed closed closed closed closed closed closed closed closed,3/28/12,0,Xmndl6GoZg8taEUlwQMYxg,TvkqJ8YEIsTb16RnnrNyfQ
Try one of the Bento Box options,10/9/12,0,eZDXz_RylvdD0tHEA8I0NA,TvkqJ8YEIsTb16RnnrNyfQ
Great clay jar pork!,5/13/11,0,xTNtyQsPdunuGAIcn69J8Q,TvkqJ8YEIsTb16RnnrNyfQ
"Great food, mediocre friendliness\/service",3/30/11,0,xTNtyQsPdunuGAIcn69J8Q,TvkqJ8YEIsTb16RnnrNyfQ
USAir check-in desk agent Nancy E. is the sadest poor customer service provider I experienced this week. She doesn't want to be there. #Fail,5/20/11,0,u7CxxEzx8hvjoJ8onN4zTg,TvkqJ8YEIsTb16RnnrNyfQ
Great weather for eating outdoors. Good service.,3/27/12,0,1CqDdPrrb0xvQpgu7fhI5w,TvkqJ8YEIsTb16RnnrNyfQ
Good service. Good concierge lounge with good dessert at night. Good location.,1/20/12,0,Os2gtbn-gTJXz0lKge6VDg,TvkqJ8YEIsTb16RnnrNyfQ
Just an overnight for work. The lounge and top management are great. Recommended!,6/21/12,0,Os2gtbn-gTJXz0lKge6VDg,TvkqJ8YEIsTb16RnnrNyfQ
The marketing lady is out handing out gifts and coupons today. Nice lady and great service again!,1/20/12,0,GtioOu-ZcwVJUhTgox4lsA,TvkqJ8YEIsTb16RnnrNyfQ
Ask for free refills!,1/19/12,0,GtioOu-ZcwVJUhTgox4lsA,TvkqJ8YEIsTb16RnnrNyfQ
The fried banana dessert is good,9/2/12,0,_AKdBFzkl7GY-daxUCCbVA,TvkqJ8YEIsTb16RnnrNyfQ
"The service provided by some here is truly exemplary @marriottintl, especially Gabriella who works in the dining area. #Recommended",12/5/12,0,N_IytPmdrTc9yn3tWPFtQg,TvkqJ8YEIsTb16RnnrNyfQ
It is a great day to fly. Different:There's a bathroom attendant in men's bathroom in terminal C,9/29/11,0,Lyq7ULam8T-ZddYLHq4DqA,TvkqJ8YEIsTb16RnnrNyfQ
"The place to go after work, but, it ain't cheap",8/22/12,0,QFPS9JBNdOOHVP0C3pSslw,TvkqJ8YEIsTb16RnnrNyfQ
"I didn't eat here, but they were nice enough to tell me where to find tacos de lengua y churros. Look at my next post to find out where :)",3/28/12,0,HWjqW5ZFJ8eZRQuHcpySQA,TvkqJ8YEIsTb16RnnrNyfQ
"Good food, but it took too long to get the food. Recommended!",3/29/12,0,3x45Q9c5G6VBicedNKrXxQ,TvkqJ8YEIsTb16RnnrNyfQ
Noisy but should be fun,1/29/13,0,JzB7NITHQ7gVHGVZ1ntgIQ,lJ2rbcLTtIVKW2WzC0hhLg
Noisy,12/23/12,0,cGQKUOAZm_VHcQOJWbatog,lJ2rbcLTtIVKW2WzC0hhLg
Tables almost completely full of people with laptops,7/22/13,0,VaQhUU3P4Z5A3oYPsEMbkw,lJ2rbcLTtIVKW2WzC0hhLg
Greek Easter egg dye!,3/11/13,0,EnJS6OeeknzOjVUX6RYwlQ,lJ2rbcLTtIVKW2WzC0hhLg
Brunch until 2:30 Saturday and subsay,4/27/13,0,azE1DNVQFBU8boVbaJhj7w,lJ2rbcLTtIVKW2WzC0hhLg
They've closed this location and consolidated to their other.,10/18/13,0,v50-nvBCZNf7nCNbyUlQLw,lJ2rbcLTtIVKW2WzC0hhLg
Getting lots of little yummy things!,1/25/13,0,iT9KMTR8NqYwSCW-zMUOxw,lJ2rbcLTtIVKW2WzC0hhLg
Lunch menu ends at 3 p. m.,10/18/13,0,iT9KMTR8NqYwSCW-zMUOxw,lJ2rbcLTtIVKW2WzC0hhLg
Salted caramel macaroons! Espresso macaroons!,7/2/14,0,-igpUhnA1b5iUK6rfAtuPw,lJ2rbcLTtIVKW2WzC0hhLg
Fancy bar with food. Bar dominates first impression.,1/30/13,0,mRZCTkOgDc28VWYMvo3nVQ,lJ2rbcLTtIVKW2WzC0hhLg
"Indie, good service, good selection.",7/24/13,0,ZeLSZRm_l0Aw7idB3_fKbA,lJ2rbcLTtIVKW2WzC0hhLg
Is two at a time just right or are we too greedy?,2/17/13,0,1cGyzWtfOoDiE8V0OR85yA,lJ2rbcLTtIVKW2WzC0hhLg
"Be nice to them, they'll treat you right.",2/15/14,0,1cGyzWtfOoDiE8V0OR85yA,lJ2rbcLTtIVKW2WzC0hhLg
They should be paying me to watch these ads.,12/23/12,0,RxNPIAim-2fIw43IilR62g,lJ2rbcLTtIVKW2WzC0hhLg
"Felt a mite hipstery, but I was treated well and served great coffee and pastry.",1/25/13,0,2M8HhQRsKqETmxo8YhtVGQ,lJ2rbcLTtIVKW2WzC0hhLg
"Blawnox, not Aspinwall",1/24/13,0,cKDql3YTCVyh2ljA21yE2A,lJ2rbcLTtIVKW2WzC0hhLg
"Address is incorrect. Location is 405 Freeport Road, Blawnox.",1/29/13,0,cKDql3YTCVyh2ljA21yE2A,lJ2rbcLTtIVKW2WzC0hhLg
Salted caramel latte and amazing brownies!,1/30/13,0,cKDql3YTCVyh2ljA21yE2A,lJ2rbcLTtIVKW2WzC0hhLg
Good customer service,4/8/14,0,2uDJ3Vd1E_49QMNuSQYpyQ,lJ2rbcLTtIVKW2WzC0hhLg
Friendly owner,10/18/13,0,BIN_lwo-4Y441qdDljtdlw,lJ2rbcLTtIVKW2WzC0hhLg
Knorks!,10/20/13,0,Fozo0B-y42EhRMomR0K5vQ,lJ2rbcLTtIVKW2WzC0hhLg
Very nice!,12/23/12,0,GAmd3nHx5TInVN26PLZj7g,lJ2rbcLTtIVKW2WzC0hhLg
Good garlic knots,7/20/13,0,cJREFoHP-dAYmwDzfWOHbA,lJ2rbcLTtIVKW2WzC0hhLg
Wings and a slice: wings come out far later than the slice. Maybe asking to have them arrive together would work.,10/18/13,0,cJREFoHP-dAYmwDzfWOHbA,lJ2rbcLTtIVKW2WzC0hhLg
Look up at the ceiling!,3/11/13,0,PRsiM1hkoAIb-e7ov8SMkA,lJ2rbcLTtIVKW2WzC0hhLg
Canned soda $1.75. I'll skip it.,7/24/13,0,7wMB3wMbOp0gq3l6nHfOaA,lJ2rbcLTtIVKW2WzC0hhLg
These sandwiches deserve to be the main course on gods meals,10/17/13,0,JzB7NITHQ7gVHGVZ1ntgIQ,_Rw09uhdZiS6anoB_0YcZg
"Not just comfort food, LIFE food. Yinz won't find a better sandwich joint.  The beer is cold and the crowd is loud.  Happy hour?  Four beers for ten bucks.  Where can you beat that?",12/23/13,0,JzB7NITHQ7gVHGVZ1ntgIQ,o9fbX0eNRqaX0K-PmuXWnQ
"Small interior, but good if you go with a large group and take over the joint!  Excellent bar staff!",11/9/13,0,aj2v7_ywAYgrHLn8JXup7g,o9fbX0eNRqaX0K-PmuXWnQ
"Visiting from Florida, always our first stop even before seeing family!",3/19/14,0,JzB7NITHQ7gVHGVZ1ntgIQ,OVpt8ITCEWyYBjn0N3CRwg
"First time stopping here on one of our trips from Florida to Pennsylvania and back.  Excellent!  Service was fast and food was great!  I know you would think this chain is good always but we have had our shares of bad locations, this one is awesome!!",3/23/14,0,3GMgxgK11TqpQq8TWh_7uA,OVpt8ITCEWyYBjn0N3CRwg
Pgh staple.,4/12/14,0,JzB7NITHQ7gVHGVZ1ntgIQ,ObtNPACE7Cv07k9t7aM2YQ
"It's Primanti, nuff said.",9/11/16,0,JzB7NITHQ7gVHGVZ1ntgIQ,ObtNPACE7Cv07k9t7aM2YQ
"Closes at midnight, not 2am.",7/27/15,0,JzB7NITHQ7gVHGVZ1ntgIQ,QGgWWhEi5R4SLAKN-xwtNQ
They have a massage therapist on staff too,6/4/15,0,gWa8pM4i8cti9HjtUdw8yg,QGgWWhEi5R4SLAKN-xwtNQ
"Warning to all Yelpers...never buy anything here or contract any service.  Follow this simple rule, if you ever feel pressured, trapped or scared while buying anything, DON'T BUY IT and leave immediately.  In this store, you're bound to feel all of these emotions at some point.",10/15/15,0,WsL82O6zO2gnxoaJzlUvAQ,QGgWWhEi5R4SLAKN-xwtNQ
Recommend reservations as they can get a little busy. Also recommend the happy hour. The pork nachos are fantastic.,3/5/14,0,8nNB_yG1gzVpbqNH2EBucg,QGgWWhEi5R4SLAKN-xwtNQ
The spicy green beans is an amazing side. Try it!,5/15/15,0,SRYM6FaIF6LuXldcC1PY8w,QGgWWhEi5R4SLAKN-xwtNQ
Mmm... Take out! Order online and pickup on your way home!,8/10/15,0,TWkL-VHo6P-WwL8iTvqlYQ,QGgWWhEi5R4SLAKN-xwtNQ
The salsa is delicious... Plan to eat a lot!,3/7/14,0,xUvgrDdKhcmaP6Zv0ssb6A,QGgWWhEi5R4SLAKN-xwtNQ
Best salsa!  You'll need some to take home!,7/25/15,0,xUvgrDdKhcmaP6Zv0ssb6A,QGgWWhEi5R4SLAKN-xwtNQ
"When you get the chicken, don't skip the wing, its the best part!",7/23/15,0,4FFhq0e4bxAG4uXqgT14jQ,QGgWWhEi5R4SLAKN-xwtNQ
Order extra gravy. Its the best thing ever!,3/31/14,0,-InU2nAbC9AuS-Um2Cowgw,QGgWWhEi5R4SLAKN-xwtNQ
"Get the ice tea with raspberries, they add the fresh berries right in your glass, no fake additives here, only the real thing.",4/18/16,0,SurnOSM2bVVN4-Js3G23RQ,QGgWWhEi5R4SLAKN-xwtNQ
Still delicious!,8/9/15,0,ydhgMcBh4A_eihzEAg9LLQ,QGgWWhEi5R4SLAKN-xwtNQ
Tuesday Special - 50¢ wings,11/18/15,0,3CBLxydJU6CFRMGhu9b-sw,QGgWWhEi5R4SLAKN-xwtNQ
"Add an ice tea for lunch, it's the real thing here.",8/26/15,0,Ue4wtaeyhPKvdkXlULimCw,QGgWWhEi5R4SLAKN-xwtNQ
"Use the online check in. Its great. I checked in, shopped next door and walked over at the estimated time. I almost felt bad skipping the huge crowd of people there.",5/16/15,0,qlx_X6JXqRuBxE7CvDROzA,QGgWWhEi5R4SLAKN-xwtNQ
Closes for lunch at 2pm.,8/10/15,0,ILHR4Kifn65EDM9f_OzwjA,QGgWWhEi5R4SLAKN-xwtNQ
Summer hours: closed Saturday through Labor Day.,7/27/15,0,qnql60YyttH_nMfufiHHtw,QGgWWhEi5R4SLAKN-xwtNQ
Happy hour here is great!,11/8/15,0,6We2O5X62J_gduXU7jvf8w,QGgWWhEi5R4SLAKN-xwtNQ
Good value for a quick soda in the airport.,7/28/15,0,dSwOo43YKAIvp0PjNXdW2g,QGgWWhEi5R4SLAKN-xwtNQ
"Fill out the survey on the receipt for a free cookie.  They are awesome and hot, totally worth the 4 minute survey.",8/18/15,0,PcaUH8LAXd2aFbzMluYoyg,QGgWWhEi5R4SLAKN-xwtNQ
"Even if their hours say its closed, sometimes they stay open late at night.  When you get out of a movie at midnight and need a donut, this could be your fix!",7/25/15,1,lkpoSg7xf60BsrOjdm0CBA,QGgWWhEi5R4SLAKN-xwtNQ
Closed labor day,9/6/15,0,ITOa1olD2HTgEVOnH8zVog,QGgWWhEi5R4SLAKN-xwtNQ
Taco Tuesdays are great! Bring a friend and get street tacos and a green Chile plate to share.  Delicious!,10/6/15,0,ITOa1olD2HTgEVOnH8zVog,QGgWWhEi5R4SLAKN-xwtNQ
There are some cool hyroglyphs about a third of the way up.,9/7/15,0,qRuKEfk4Iqzm8TIu6PuN_w,QGgWWhEi5R4SLAKN-xwtNQ
Love harkins. They are always good with loyalty cups and free popcorn passes.,3/8/14,0,VkOyrR6CDfhZ7hh4yOvhiw,QGgWWhEi5R4SLAKN-xwtNQ
Yum!!!!! Yum!!!! Yum!!! There is nothing else to say!!!!,6/13/16,0,JzB7NITHQ7gVHGVZ1ntgIQ,bMBJlqFfwslLXJmoMNuTJA
Favorite place to go!,12/24/16,0,JzB7NITHQ7gVHGVZ1ntgIQ,0l1I3fu22Aec8S5VG6NiqQ
Don't do the drive-through during the day if you have somewhere to be.,7/8/16,0,7FxdbDj8smpkpmmgyojIWw,0l1I3fu22Aec8S5VG6NiqQ
Amazing!  Get the red and white sauce combined...  Delish,6/11/13,0,JHrZlJBq8QNdugfmxug1rg,4rYg5UywNqmKywRWJXOp4g
Get red and white sauce combined.,6/11/13,0,JHrZlJBq8QNdugfmxug1rg,4rYg5UywNqmKywRWJXOp4g
It's like eating dinner or lunch with a large Italian family.  Home style cooking...love the atmosphere and the price and quality of food. Celebrated my 30th birthday party there and had many other great memories. Mixed seafood dish is spicy and phenomenal.  Enjoy!,6/11/14,0,JHrZlJBq8QNdugfmxug1rg,VF49DRllHsERdrlcdZdibA
If you like fried fatty bar food then this is the place for you.,2/24/10,0,I9X0wHeZF42h8M-kJjT0og,2CZmJp_S-DCh-CvII15xxQ
Great driving range and great prices,8/16/15,0,hVGzRz8AW_dMDDJlWZV_kQ,2CZmJp_S-DCh-CvII15xxQ
"Good, cheap food",9/11/15,0,I9X0wHeZF42h8M-kJjT0og,s9v9DdHe2OnkeX9rmv_Q2A
Excellent fast service. Best place in town,9/17/15,0,AuOkeVkc38UaZeq-u14dCg,s9v9DdHe2OnkeX9rmv_Q2A
***********,9/5/15,0,EbxaQO95C7PUNTmokE70XA,s9v9DdHe2OnkeX9rmv_Q2A
Is this place even open? I am looking for a Chinese place around here.,7/6/16,0,mTPC_emDlTlfwr5o8A9APw,s1WJ1wVeA0Ot2e8ynYbphA
"Love this place, and the sushi is surprisingly good for take out",1/2/17,0,mTPC_emDlTlfwr5o8A9APw,60Eaz-QfBMp8WwD8VVrWxA
"Good night for Chinese take out, PJs and a movie with my 3 boys!",12/14/12,0,mTPC_emDlTlfwr5o8A9APw,MolXvMRbUNY6Yr_s0zEQ0A
"Loved the smorgasbord of small plates and salads we enjoyed a few weeks ago, but today, had an opportunity to partake of the Poached Pear dessert! Absolutely amazing with the candied walnuts and marscapone quenelle  accompaniments and red wine mulling spiced reductions - don't miss this one!",10/17/12,0,TvL29lvPQU5GtPEN-J0wIA,MolXvMRbUNY6Yr_s0zEQ0A
"The Cleveland Pickle is the best sandwich deli ever! Hands down! Unique, fresh, delicious, creative! Amazing! Can't wait to go back!",10/20/12,0,MTsIckdo3_uKuqk3B4zuKA,MolXvMRbUNY6Yr_s0zEQ0A
Get here by noon if you want the ribs!,6/1/14,0,i_pDTvnEn71NceP3nfGq5Q,PZNMPWCViVX8JLsn10MSnQ
Yea.   No salt!,2/9/14,0,sz02ngS-FKPhRvxWV86b8g,PZNMPWCViVX8JLsn10MSnQ
Checkup time!,4/21/14,0,0w5Oh6WCXhEXrhVlVrH4Rg,PZNMPWCViVX8JLsn10MSnQ
"You want it, they have it!   Love TJ's!",12/21/15,0,D8oM_IYmJUkwWUzBH_f8rg,PZNMPWCViVX8JLsn10MSnQ
"In the time it takes to walk through, pay and check in, my car is spotless.",2/8/14,0,OmnFXovjCVVlqhPt9TU2gA,PZNMPWCViVX8JLsn10MSnQ
automobile hygiene is a real thing,6/12/16,0,OmnFXovjCVVlqhPt9TU2gA,PZNMPWCViVX8JLsn10MSnQ
Labor shortage?  Long wait on a not very busy Saturday morning,7/16/16,0,OmnFXovjCVVlqhPt9TU2gA,PZNMPWCViVX8JLsn10MSnQ
Great special: (3) #5 Deluxe Washes for $50!  Regular $29.99 each,2/1/14,0,OmnFXovjCVVlqhPt9TU2gA,PZNMPWCViVX8JLsn10MSnQ
New & different. This is the place!,8/28/14,0,eDusRHhrFW_Y555LjQrlzw,PZNMPWCViVX8JLsn10MSnQ
Serving platters!,5/15/14,0,mqluTlSbZSstVyNKU8G9vw,PZNMPWCViVX8JLsn10MSnQ
Brand new parking lot!,6/16/14,0,mqluTlSbZSstVyNKU8G9vw,PZNMPWCViVX8JLsn10MSnQ
Meatball hoagie,6/6/14,0,gRTEQPvX3s1WzFhOPNbVeg,PZNMPWCViVX8JLsn10MSnQ
$.50 taco night....  if you can resist their wings!,1/29/14,0,Vh_7bnBfhePLw7obsuK0Lw,PZNMPWCViVX8JLsn10MSnQ
"Brunch, boutique and flowers, beautiful property",7/26/15,0,rbZ4AHL1LV8KGW9NDGbI9w,PZNMPWCViVX8JLsn10MSnQ
"VIP promo for almost all typically ""coupon excluded"" designers & brands - through Sept 25!",9/20/17,0,CsguIDuWWwsy58seF52RoQ,PZNMPWCViVX8JLsn10MSnQ
Dont forget they cater!,5/17/17,0,bXCIqbwQykc7P6t-DsDF6g,PZNMPWCViVX8JLsn10MSnQ
Fresh bread!   Trying Black Russian!,1/26/14,0,T3syhQWse9WtFMoWk-oN6g,PZNMPWCViVX8JLsn10MSnQ
Sssssllllllloooooowwww,7/9/14,0,T3syhQWse9WtFMoWk-oN6g,PZNMPWCViVX8JLsn10MSnQ
Surprising selection of outdoor pots and garden accents!,4/4/15,0,ccDRE8wvhikoajUIiMBL0Q,PZNMPWCViVX8JLsn10MSnQ
Flower power!,5/18/14,0,pBSIzR0uR2LSs4ZrvIOrMw,PZNMPWCViVX8JLsn10MSnQ
Wicked!,2/8/14,0,CTiWs36A_sX3eahdqrYxUQ,PZNMPWCViVX8JLsn10MSnQ
Also the Cakes & Cocktails venue!,5/15/17,0,j5ZyAzGkBBi8owpFILCioQ,PZNMPWCViVX8JLsn10MSnQ
Excellent venue for a shower!,7/12/17,0,WY5Nn8--uHauNleE4JAPrw,PZNMPWCViVX8JLsn10MSnQ
Big Brighton inventory!,4/14/14,0,Vq4wz0wm6PrCDhw23AgJ9w,PZNMPWCViVX8JLsn10MSnQ
Valley of Fire Tour.  Very nice!,4/11/16,0,KPgyqG3MyFUDK7GRbUg51A,PZNMPWCViVX8JLsn10MSnQ
Wednesday = Wing Night,6/17/15,0,KNpcPGqDORDdvtekXd348w,PZNMPWCViVX8JLsn10MSnQ
Best French Onion soup.  BEST!,5/2/16,0,KNpcPGqDORDdvtekXd348w,PZNMPWCViVX8JLsn10MSnQ
Dang! Hope they have crackers! !,7/2/14,0,KoOqNG0ysV8yChCf5-XE0Q,PZNMPWCViVX8JLsn10MSnQ
Awesome pizza!,6/3/15,0,41f1utKc483Fw4mP4AFfJA,PZNMPWCViVX8JLsn10MSnQ
"Go Mnvl Mall!  Is the underdog making a comeback?  Yes, say I!",4/10/14,0,nxo1C5te8Aug-Lf5D_0b1A,PZNMPWCViVX8JLsn10MSnQ
Diablo Dog on the Deck.  Friday!,6/27/14,0,uYzaARioENSfB9Y9Gk2PDA,PZNMPWCViVX8JLsn10MSnQ
This is a Wilkins Two gas station.  Across from Shop N Save!,4/12/14,0,yCXYIz0MxVfT05TRwr1EiQ,PZNMPWCViVX8JLsn10MSnQ
Because I'm outta hot chocolate!  Happy January 'Burghers!,1/27/14,0,NxFuteLIIgD96vLSowo-3w,PZNMPWCViVX8JLsn10MSnQ
Alligator stew fixings!,1/28/14,0,NxFuteLIIgD96vLSowo-3w,PZNMPWCViVX8JLsn10MSnQ
"Yes, the cat has to eat, too.  But Boo for a special trip!",1/31/14,0,NxFuteLIIgD96vLSowo-3w,PZNMPWCViVX8JLsn10MSnQ
Packing lunches.  Best deli ever.,2/4/14,0,NxFuteLIIgD96vLSowo-3w,PZNMPWCViVX8JLsn10MSnQ
Hubs is going on a rabbit run to Wholey's today.  Cannot wait until Fall for Hasenpfeffer!,7/24/15,0,hsRjct8UiUHU54B983GmcA,PZNMPWCViVX8JLsn10MSnQ
"Roasted root hash!  Wahoo!  Sorry, we're out...  Ok... breakfast sandwich, bacon and asiago. Great #2 choice for a rainy morning.",2/2/14,0,3GuqcEYaF1d1WXcwOX5xPw,PZNMPWCViVX8JLsn10MSnQ
Stubs rewards... this may be my free day!,2/9/14,0,RxNPIAim-2fIw43IilR62g,PZNMPWCViVX8JLsn10MSnQ
Roasted Duck Curry was perfect!  Pad Phet Neau is an old favorite of my companion.,1/28/14,0,MNmQ1s-zdjEgm3bdRs7iEw,PZNMPWCViVX8JLsn10MSnQ
Avocado Smoothie. Fabulous!,6/30/14,0,MNmQ1s-zdjEgm3bdRs7iEw,PZNMPWCViVX8JLsn10MSnQ
An Italian restaurant with no anchovies. Not cool.,4/21/16,0,oP0eUhf44jU71-I8DwKU5A,PZNMPWCViVX8JLsn10MSnQ
Arsenal cider!,2/1/14,0,Bf-yMQiSmDZyqfGyFKQ0bA,PZNMPWCViVX8JLsn10MSnQ
Hot spaghetti sauce.   The best!,2/6/14,0,opjEyudWKz_AJreQs959Aw,PZNMPWCViVX8JLsn10MSnQ
Don't forget: you can buy it online and pick it up on your way past the store!  Love that!,5/9/15,0,hbU9i9ajkai8OnTMxiMThA,PZNMPWCViVX8JLsn10MSnQ
Looking for a small blender.  Signed up online and was instantly given 20% off!,4/11/14,0,Sk0jAL8cPgCSVRU8-pD8QA,PZNMPWCViVX8JLsn10MSnQ
Great seasonal store.  I love their planter selection in the spring...  And always some happy garden jewelry!,4/11/14,0,ofGLoCpwEauC1-oi99cdGg,PZNMPWCViVX8JLsn10MSnQ
"Son's wedding booked, next summer - cannot wait!",6/18/15,0,L-v6TXGRfNFrNbxvZ9O7wA,PZNMPWCViVX8JLsn10MSnQ
Corn hole tourneys in the lower parking lot!,4/23/14,0,y6lu1-YjIQ9uOfClT7VAag,PZNMPWCViVX8JLsn10MSnQ
Monday night wings !,6/1/15,0,Fh-mO_bD6AuSnJab5r6i0A,PZNMPWCViVX8JLsn10MSnQ
Passing through the Burgh.,3/8/14,0,Tzp6kdtA7coJgnY3-hFHtw,PZNMPWCViVX8JLsn10MSnQ
Now available:  half cases!!  Yay!!,3/5/16,0,1f6wWD3iud8auBlYkQ9STg,PZNMPWCViVX8JLsn10MSnQ
Taco pizza.  The best!,7/29/15,0,7Av7uSgowKNGQtnxWxcKxg,PZNMPWCViVX8JLsn10MSnQ
It's almost motorcycle season.  They stock HD parts!,4/17/14,0,3Izv7UguuUGZt-DYBw1gaw,PZNMPWCViVX8JLsn10MSnQ
"Fastest mattress purchase, ever!",5/21/16,0,RHjqtFnsyMoIbqKk3vYQnA,PZNMPWCViVX8JLsn10MSnQ
"Manufactured in Aspinwall, PA!",12/30/16,0,4d6eYel4nqoBk0bWCa-_aA,PZNMPWCViVX8JLsn10MSnQ
"They cater, too.  Beautiful funeral dinner",11/13/16,0,nYFhYM9JQbWnxI3zEd-gug,PZNMPWCViVX8JLsn10MSnQ
Best lunch salad!,2/10/14,0,VxOsyWUIKsgafJmnfInbbg,PZNMPWCViVX8JLsn10MSnQ
